na,mean,std
0.28,0.607134024712854,0.18681603958565793
0.29,0.8216555930705512,0.23638648197909334
0.3,0.6108482512065667,0.31143283724966037
0.31,0.5434995908457709,0.17782460254600102
0.32,0.6867192524047006,0.32760634297972596
0.33,0.6111401094716361,0.19466216612148277
0.34,0.591010165528772,0.15618724540305204
0.35000000000000003,0.5443195114463132,0.18780270029795254
0.36,0.5513930642864384,0.12847237077352047
0.37,0.7390033648440936,0.36892973009060015
0.38,0.7558679090078219,0.32470113326587724
0.39,0.7770418563837371,0.1985543510791677
0.4,0.6669628466024633,0.15977358537351768
0.41000000000000003,0.6667690509047297,0.16457917717810072
0.42,0.5311357419510518,0.10657181197562599
0.43,0.5056906866046887,0.07949153589719343
0.44,0.2523147887561708,0.021254475842605005
0.45,0.22335608859847073,0.03360506745885351
0.46,0.14924920082554696,0.01686045557292885
0.47000000000000003,0.12500352335275225,0.028442523839150004
0.48,0.15678122887099705,0.04312828957608713
0.49,0.20137498742266852,0.05451410959744145
0.5,0.3946344379034397,0.11109583303600182
0.51,0.5641283582045318,0.11220890102442183
0.52,0.7301764238971311,0.21276773336668592
0.53,0.8186731763422017,0.27111666865338147
0.54,1.0319487937453387,0.16790338566137622
0.55,1.2829721301572605,0.19799666964059323
0.56,1.760556894122617,0.27747609847930854
0.5700000000000001,2.1321434164994386,0.42655985153816117
0.58,2.1942434306823406,0.25414875649036667
0.59,2.5640518747046572,0.16382506200631525
0.6,2.7124919911438936,0.24397364571574753
